"type_id";"breed";"sex_id";"size_id";"animal_id";"days_in_shelter";"intake_id";"intake_subtype";"outcome_type";"outcome_subtype";"intake_condition";"outcome_condition";"location";"age"
1;"PIT BULL/MIX";1;3;"A408497";13;2;"FLD_ARREST";"RETURN TO OWNER";"OVER THE COUNTER_ARREST";"UNKNOWN";"PENDING";"95401(38.44366, -122.7246163)";3
1;"CHIHUAHUA SH";3;4;"A418665";1;2;"FLD_HOSPTL";"RETURN TO OWNER";"OVER THE COUNTER_NOTICE";"UNKNOWN";"PENDING";"95404(38.44511, -122.708)";3
1;"ROTTWEILER/MIX";3;5;"A424477";43;1;"OVER THE COUNTER";"ADOPTION";"REFERRAL-O";"TREATABLE/REHAB";"TREATABLE/REHAB";"95404(38.44511, -122.708)";0
1;"SIBERIAN HUSKY/GERM SHEPHERD";3;3;"A422655";0;1;"OVER THE COUNTER";"RETURN TO OWNER";"OVER THE COUNTER_CALL";"UNKNOWN";"PENDING";"95407(38.4127094, -122.7412153)";3
1;"GERM SHEPHERD/SIBERIAN HUSKY";4;1;"A423715";2;1;"FIELD";"RETURN TO OWNER";"OVER THE COUNTER_WEB";"TREATABLE/REHAB";"TREATABLE/REHAB";"95407(38.4127094, -122.7412153)";1
1;"PIT BULL/MIX";4;1;"A425484";2;2;"FLD_ARREST";"RETURN TO OWNER";"OVER THE COUNTER_ARREST";"UNKNOWN";"PENDING";"95407(38.4127094, -122.7412153)";4
1;"STAFFORDSHIRE";3;2;"A422452";1;1;"OVER THE COUNTER";"RETURN TO OWNER";"OVER THE COUNTER_CALL";"UNKNOWN";"PENDING";"95404(38.44511, -122.708)";9
1;"SIBERIAN HUSKY";1;1;"A416471";284;1;"OVER THE COUNTER";"ADOPTION";"SCAS WEB";"HEALTHY";"HEALTHY";"95461(38.75402, -122.61931)";4
1;"SIBERIAN HUSKY/GERM SHEPHERD";3;3;"A422655";4;1;"FLD_STRAY";"RETURN TO OWNER";"OVER THE COUNTER_WEB";"UNKNOWN";"PENDING";"95407(38.4127094, -122.7412153)";3
1;"MALTESE";1;4;"A378799";0;1;"FLD_STRAY";"RETURN TO OWNER";"OVER THE COUNTER_NOTICE";"HEALTHY";"HEALTHY";"95409(38.46382, -122.67058)";14
2;"DOMESTIC SH";3;6;"A421170";89;1;"OVER THE COUNTER";"ADOPTION";"WALKIN";"HEALTHY";"HEALTHY";"95492(38.541355, -122.80026)";1
1;"CHIHUAHUA SH";3;4;"A418666";1;2;"FLD_HOSPTL";"RETURN TO OWNER";"OVER THE COUNTER_NOTICE";"UNKNOWN";"PENDING";"95404(38.44511, -122.708)";3
2;"DOMESTIC SH";3;2;"A422102";58;1;"FLD_STRAY";"ADOPTION";"WALKIN";"UNKNOWN";"HEALTHY";"95492(38.541355, -122.80026)";1
1;"CHIHUAHUA SH";3;4;"A308443";43;3;"OVER THE COUNTER";"ADOPTION";"WALKIN";"HEALTHY";"HEALTHY";"95407(38.4127094, -122.7412153)";11
1;"CATAHOULA/MIX";3;1;"A360813";6;1;"OVER THE COUNTER";"RETURN TO OWNER";"OVER THE COUNTER_NOTICE";"UNKNOWN";"PENDING";"94951(38.294195, -122.670365)";15
1;"POMERANIAN";1;4;"A422994";25;1;"FLD_STRAY";"ADOPTION";"WALKIN";"UNKNOWN";"HEALTHY";"95401(38.44366, -122.7246163)";6
1;"PARSON RUSS TER/CHIHUAHUA SH";1;5;"A423029";27;3;"OVER THE COUNTER";"ADOPTION";"WALKIN";"HEALTHY";"HEALTHY";"95492(38.541355, -122.80026)";1
1;"PARSON RUSS TER/CHIHUAHUA SH";3;5;"A423033";0;5;"OVER THE COUNTER";"ADOPTION";"WALKIN";"UNKNOWN";"PENDING";"95492(38.541355, -122.80026)";1
1;"SIBERIAN HUSKY/MIX";3;3;"A382673";1;1;"OVER THE COUNTER";"RETURN TO OWNER";"OVER THE COUNTER_MCHIP";"UNKNOWN";"PENDING";"95401(38.44366, -122.7246163)";6
1;"PIT BULL/MIX";4;1;"A425486";2;2;"FLD_ARREST";"RETURN TO OWNER";"OVER THE COUNTER_ARREST";"UNKNOWN";"PENDING";"95407(38.4127094, -122.7412153)";5
1;"FRENCH BULLDOG";2;2;"A423720";0;1;"FIELD";"";"";"UNKNOWN";"";"";2
1;"PIT BULL/MIX";2;2;"A425058";0;1;"FIELD";"";"";"UNKNOWN";"";"";1
1;"CHIHUAHUA SH/MIX";4;4;"A425563";0;1;"FIELD";"";"";"UNKNOWN";"";"";10
1;"CHIHUAHUA SH";1;4;"A276404";10;2;"FLD_HOSPTL";"RETURN TO OWNER";"OVER THE COUNTER_PRVS";"UNKNOWN";"PENDING";"94931(38.3260186, -122.706422)";13
1;"CHIHUAHUA SH/PUG";3;3;"A425558";0;1;"OVER THE COUNTER";"RETURN TO OWNER";"OVER THE COUNTER_CALL";"UNKNOWN";"PENDING";"95403(38.4716444, -122.7398255)";1
1;"LABRADOR RETR/MIX";3;2;"A414483";32;1;"FIELD";"ADOPTION";"SCAS WEB";"HEALTHY";"HEALTHY";"95403(38.4716444, -122.7398255)";2
1;"PIT BULL/MIX";1;3;"A421400";0;1;"FIELD";"";"";"UNKNOWN";"";"95407(38.4127094, -122.7412153)";2
1;"AUST CATTLE DOG";3;3;"A417832";230;2;"FLD_ABAND";"ADOPTION";"WALKIN";"UNKNOWN";"PENDING";"95448(38.613965, -122.869825)";2
2;"DOMESTIC MH";1;6;"A423526";20;1;"OVER THE COUNTER";"ADOPTION";"SCAS WEB";"HEALTHY";"HEALTHY";"94952(38.237, -122.640695)";1
1;"CHIHUAHUA SH/MIX";4;2;"A425543";0;1;"FLD_STRAY";"";"";"UNKNOWN";"";"";2
2;"DOMESTIC SH";3;6;"A338178";24;1;"FIELD";"EUTHANIZE";"INJ SEVERE";"UNTREATABLE";"UNTREATABLE";"95403(38.4716444, -122.7398255)";8
1;"CHIHUAHUA SH";2;4;"A423771";0;1;"OVER THE COUNTER";"RETURN TO OWNER";"OVER THE COUNTER_WEB";"UNKNOWN";"PENDING";"95403(38.4716444, -122.7398255)";1
1;"LABRADOR RETR";2;1;"A332372";1;1;"FIELD";"RETURN TO OWNER";"OVER THE COUNTER_MCHIP";"HEALTHY";"HEALTHY";"95614(38.89591, -121.00184)";12
1;"GERM SHEPHERD/MIX";3;5;"A424662";36;1;"OVER THE COUNTER";"ADOPTION";"WALKIN";"HEALTHY";"HEALTHY";"95403(38.4716444, -122.7398255)";0
2;"DOMESTIC SH";3;6;"A338178";53;1;"COMM CAT";"ADOPTION";"WALKIN";"HEALTHY";"HEALTHY";"95403(38.4716444, -122.7398255)";8
1;"LABRADOR RETR";4;1;"A332371";1;1;"FIELD";"RETURN TO OWNER";"OVER THE COUNTER_MCHIP";"HEALTHY";"HEALTHY";"95614(38.89591, -121.00184)";9
1;"LABRADOR RETR";4;1;"A332369";1;1;"FIELD";"RETURN TO OWNER";"OVER THE COUNTER_MCHIP";"HEALTHY";"HEALTHY";"95614(38.89591, -121.00184)";9
1;"BORDER COLLIE";4;3;"A422292";0;2;"FLD_CRUEL";"";"";"UNKNOWN";"";"95476(38.288405, -122.464525)";11
1;"PIT BULL/MIX";2;3;"A425188";0;1;"OVER THE COUNTER";"";"";"UNKNOWN";"";"";2
1;"GERM SHEPHERD/MIX";1;5;"A424656";37;1;"OVER THE COUNTER";"ADOPTION";"SCAS WEB";"UNKNOWN";"PENDING";"95404(38.44511, -122.708)";1
1;"BORDER COLLIE";4;3;"A422309";0;2;"FLD_CRUEL";"";"";"UNKNOWN";"";"95476(38.288405, -122.464525)";1
2;"DOMESTIC SH";2;2;"A425566";0;1;"FIELD";"";"";"UNKNOWN";"";"95404(38.44511, -122.708)";4
1;"GERM SHEPHERD/MIX";1;5;"A424657";38;1;"OVER THE COUNTER";"ADOPTION";"SCAS WEB";"UNKNOWN";"HEALTHY";"95409(38.46382, -122.67058)";1
1;"PIT BULL";2;3;"A425410";8;1;"FLD_STRAY";"RETURN TO OWNER";"OVER THE COUNTER_WALKIN";"UNKNOWN";"PENDING";"95403(38.4716444, -122.7398255)";2
2;"DOMESTIC SH";1;6;"A422093";60;1;"FLD_STRAY";"ADOPTION";"WALKIN";"UNKNOWN";"HEALTHY";"95436(38.47872, -122.890155)";1
2;"DOMESTIC SH";3;6;"A422095";60;1;"FLD_STRAY";"ADOPTION";"WALKIN";"UNKNOWN";"HEALTHY";"95436(38.47872, -122.890155)";1
1;"AUST CATTLE DOG";4;3;"A425594";1;2;"FLD_ARREST";"RETURN TO OWNER";"OVER THE COUNTER_ARREST";"UNKNOWN";"PENDING";"96007(40.456433, -122.302259)";1
1;"PUG/MIX";1;2;"A424639";39;1;"FIELD";"TRANSFER";"MARIN HS";"HEALTHY";"HEALTHY";"94949(38.0601134, -122.5341132)";2
1;"DOBERMAN PINSCH";4;1;"A420925";1;1;"FIELD";"RETURN TO OWNER";"OVER THE COUNTER_MCHIP";"UNKNOWN";"HEALTHY";"95407(38.4127094, -122.7412153)";13
1;"DOBERMAN PINSCH";4;1;"A420925";3;1;"FLD_STRAY";"RETURN TO OWNER";"OVER THE COUNTER_WALKIN";"UNKNOWN";"HEALTHY";"95407(38.4127094, -122.7412153)";13
1;"DOBERMAN PINSCH";4;1;"A311544";5;1;"FIELD";"RETURN TO OWNER";"OVER THE COUNTER_MCHIP";"HEALTHY";"HEALTHY";"95407(38.4127094, -122.7412153)";11
2;"DOMESTIC SH";1;6;"A420580";13;3;"OVER THE COUNTER";"ADOPTION";"SCAS WEB";"HEALTHY";"HEALTHY";"95448(38.613965, -122.869825)";1
1;"GERM SHEPHERD/MIX";4;1;"A425599";0;1;"FIELD";"";"";"UNKNOWN";"";"";4
1;"PIT BULL";3;3;"A423767";1;1;"FIELD";"RETURN TO OWNER";"OVER THE COUNTER_MCHIP";"UNKNOWN";"PENDING";"95407(38.4127094, -122.7412153)";3
1;"SCHNAUZER MIN";1;3;"A405979";2;4;"FIELD";"RETURN TO OWNER";"OVER THE COUNTER_PRVS";"UNKNOWN";"PENDING";"95403(38.4716444, -122.7398255)";3
2;"DOMESTIC SH";3;2;"A402635";0;1;"OVER THE COUNTER";"RETURN TO OWNER";"OVER THE COUNTER_MCHIP";"UNKNOWN";"PENDING";"95401(38.44366, -122.7246163)";6
2;"DOMESTIC SH";1;2;"A423691";85;1;"FIELD";"TRANSFER";"MARIN HS";"HEALTHY";"HEALTHY";"94949(38.0601134, -122.5341132)";2
1;"AUST CATTLE DOG";3;3;"A423974";69;1;"FLD_STRAY";"TRANSFER";"MARIN HS";"HEALTHY";"HEALTHY";"94949(38.0601134, -122.5341132)";2
2;"DOMESTIC SH";2;6;"A425489";5;1;"FIELD";"TRANSFER";"MARIN HS";"UNKNOWN";"HEALTHY";"94949(38.0601134, -122.5341132)";0
2;"DOMESTIC SH";2;2;"A425485";5;1;"FIELD";"TRANSFER";"MARIN HS";"UNKNOWN";"HEALTHY";"94949(38.0601134, -122.5341132)";2
2;"DOMESTIC SH";4;6;"A425490";5;1;"FIELD";"TRANSFER";"MARIN HS";"UNKNOWN";"HEALTHY";"94949(38.0601134, -122.5341132)";0
1;"GERM SHEPHERD/MIX";3;5;"A424658";39;1;"OVER THE COUNTER";"ADOPTION";"SCAS WEB";"UNKNOWN";"HEALTHY";"95401(38.44366, -122.7246163)";0
1;"GERM SHEPHERD";3;5;"A424891";30;1;"OVER THE COUNTER";"ADOPTION";"SCAS WEB";"HEALTHY";"HEALTHY";"95403(38.4716444, -122.7398255)";1
2;"DOMESTIC SH";2;6;"A425487";5;1;"FIELD";"TRANSFER";"MARIN HS";"UNKNOWN";"HEALTHY";"94949(38.0601134, -122.5341132)";0
1;"AKITA";1;1;"A290651";0;1;"FIELD";"RETURN TO OWNER";"FLD_LIC";"UNKNOWN";"PENDING";"95472(38.4007555, -122.8277055)";12
1;"AUST CATTLE DOG";4;3;"A425592";1;2;"FLD_ARREST";"RETURN TO OWNER";"OVER THE COUNTER_ARREST";"UNKNOWN";"PENDING";"96007(40.456433, -122.302259)";8
1;"BELG MALINOIS/MIX";3;3;"A423110";23;5;"OVER THE COUNTER";"RETURN TO OWNER";"OVER THE COUNTER_WALKIN";"UNKNOWN";"PENDING";"95403(38.4716444, -122.7398255)";4
1;"PIT BULL/LABRADOR RETR";4;3;"A418908";12;2;"FIELD";"RETURN TO OWNER";"MEDICAL";"UNKNOWN";"PENDING";"95409(38.46382, -122.67058)";1
1;"BULLMASTIFF/PIT BULL";4;3;"A418909";2;2;"FIELD";"RETURN TO OWNER";"OVER THE COUNTER_WEB";"UNKNOWN";"PENDING";"95409(38.46382, -122.67058)";1
1;"BULLMASTIFF/PIT BULL";4;3;"A418909";10;4;"FIELD";"RETURN TO OWNER";"OVER THE COUNTER_WALKIN";"UNKNOWN";"PENDING";"95409(38.46382, -122.67058)";1
1;"BULLMASTIFF/PIT BULL";4;3;"A418909";12;2;"FIELD";"RETURN TO OWNER";"OVER THE COUNTER_ARREST";"UNKNOWN";"PENDING";"95409(38.46382, -122.67058)";1
1;"BULLMASTIFF/PIT BULL";4;3;"A418909";4;2;"FLD_HOSPTL";"RETURN TO OWNER";"OVER THE COUNTER_PRVS";"UNKNOWN";"PENDING";"95409(38.46382, -122.67058)";1
1;"CATAHOULA/MIX";3;1;"A360813";2;1;"OVER THE COUNTER";"RETURN TO OWNER";"OVER THE COUNTER_NOTICE";"UNKNOWN";"PENDING";"94951(38.294195, -122.670365)";15
1;"CHIHUAHUA LH/MIX";2;2;"A422264";0;2;"FLD_ARREST";"TRANSFER";"RP SHELTER";"UNKNOWN";"PENDING";"94928(38.3499842, -122.6928413)";2
1;"PIT BULL/LABRADOR RETR";4;3;"A418908";2;2;"FIELD";"RETURN TO OWNER";"OVER THE COUNTER_WEB";"UNKNOWN";"PENDING";"95409(38.46382, -122.67058)";1
2;"DOMESTIC SH";4;6;"A425488";5;1;"FIELD";"TRANSFER";"MARIN HS";"UNKNOWN";"HEALTHY";"94949(38.0601134, -122.5341132)";0
1;"PIT BULL/LABRADOR RETR";4;3;"A418908";4;2;"FLD_HOSPTL";"RETURN TO OWNER";"OVER THE COUNTER_PRVS";"UNKNOWN";"PENDING";"95409(38.46382, -122.67058)";1
1;"LABRADOR RETR/MIX";1;5;"A422883";37;1;"OVER THE COUNTER";"ADOPTION";"WALKIN";"HEALTHY";"HEALTHY";"94954(38.263265, -122.641035)";1
1;"PIT BULL";3;3;"A423845";0;1;"FLD_STRAY";"";"";"HEALTHY";"";"";2
1;"PIT BULL";4;1;"A342025";1;1;"FIELD";"RETURN TO OWNER";"OVER THE COUNTER_NOTICE";"HEALTHY";"HEALTHY";"95476(38.288405, -122.464525)";8
1;"PIT BULL";4;1;"A342025";2;1;"FIELD";"RETURN TO OWNER";"OVER THE COUNTER_PRVS";"HEALTHY";"HEALTHY";"95476(38.288405, -122.464525)";8
1;"LABRADOR RETR/ROTTWEILER";1;3;"A291746";68;6;"VET_HOSP";"ADOPTION";"WALKIN";"HEALTHY";"HEALTHY";"95409(38.46382, -122.67058)";12
1;"PIT BULL";4;1;"A342025";2;2;"FLD_ARREST";"RETURN TO OWNER";"OVER THE COUNTER_PRVS";"HEALTHY";"HEALTHY";"95476(38.288405, -122.464525)";8
1;"GERM SHEPHERD/MIX";2;5;"A425627";0;1;"FIELD";"";"";"UNKNOWN";"";"";1
1;"ALASKAN HUSKY";1;1;"A418931";266;1;"FIELD";"ADOPTION";"OTH_MEDIA";"UNKNOWN";"HEALTHY";"95404(38.451809, -122.692988)";3
1;"PARSON RUSS TER";1;2;"A336689";77;1;"FIELD";"ADOPTION";"SPEC EVENT";"TREATABLE/REHAB";"TREATABLE/REHAB";"95403(38.4716444, -122.7398255)";10
1;"GERM SHEPHERD";1;5;"A423818";79;1;"FLD_STRAY";"ADOPTION";"SCAS WEB";"HEALTHY";"HEALTHY";"95472(38.4007555, -122.8277055)";0
1;"LABRADOR RETR";1;1;"A422387";52;1;"OVER THE COUNTER";"ADOPTION";"SCAS WEB";"HEALTHY";"HEALTHY";"95405(38.443415, -122.69178)";6
2;"DOMESTIC MH";3;2;"A422694";28;4;"FIELD";"EUTHANIZE";"AGGRESSIVE";"UNKNOWN";"HEALTHY";"95446(38.503755, -122.9935)";14
1;"AUST CATTLE DOG";3;3;"A413147";235;2;"FLD_ABAND";"ADOPTION";"SCAS WEB";"HEALTHY";"HEALTHY";"95403(38.4716444, -122.7398255)";2
1;"PIT BULL/MIX";1;5;"A422873";40;1;"OVER THE COUNTER";"TRANSFER";"HSSC";"HEALTHY";"HEALTHY";"95407(38.4127094, -122.7412153)";1
1;"GERM SHEPHERD";4;1;"A309196";1;1;"FIELD";"RETURN TO OWNER";"OVER THE COUNTER_WEB";"UNKNOWN";"PENDING";"95407(38.4127094, -122.7412153)";11
1;"BELG MALINOIS";3;5;"A414364";42;1;"OVER THE COUNTER";"ADOPTION";"SCAS WEB";"HEALTHY";"HEALTHY";"95407(38.4127094, -122.7412153)";2
1;"DOBERMAN PINSCH";2;3;"A421112";0;1;"FIELD";"RETURN TO OWNER";"FLD_MCHIP";"UNKNOWN";"HEALTHY";"95401(38.44366, -122.7246163)";1
1;"CHIHUAHUA SH/MIX";3;4;"A413202";21;1;"FIELD";"ADOPTION";"WALKIN";"HEALTHY";"HEALTHY";"95405(38.443415, -122.69178)";4
2;"DOMESTIC SH";4;2;"A423736";6;1;"OVER THE COUNTER";"RETURN TO OWNER";"OVER THE COUNTER_WEB";"UNKNOWN";"PENDING";"95462(38.46819, -123.01142)";2
2;"DOMESTIC SH";3;6;"A422659";45;1;"OVER THE COUNTER";"ADOPTION";"WALKIN";"UNKNOWN";"HEALTHY";"95409(38.46382, -122.67058)";1
1;"GERM SHEPHERD";1;3;"A421444";85;1;"FLD_STRAY";"TRANSFER";"HSSC";"HEALTHY";"HEALTHY";"95407(38.4127094, -122.7412153)";2
1;"TR WALKER HOUND/MIX";1;3;"A420180";133;1;"FLD_STRAY";"TRANSFER";"HSSC";"HEALTHY";"HEALTHY";"95407(38.4127094, -122.7412153)";1
1;"PIT BULL";1;5;"A422875";40;1;"OVER THE COUNTER";"TRANSFER";"HSSC";"HEALTHY";"HEALTHY";"95407(38.4127094, -122.7412153)";1
1;"SIBERIAN HUSKY";1;1;"A406399";0;5;"OVER THE COUNTER";"";"";"UNKNOWN";"";"";10
1;"SIBERIAN HUSKY";3;3;"A414190";315;1;"FIELD";"TRANSFER";"HSSC";"HEALTHY";"HEALTHY";"95407(38.4127094, -122.7412153)";2
1;"LABRADOR RETR/MIX";1;5;"A421655";25;4;"OVER THE COUNTER";"TRANSFER";"HSSC";"HEALTHY";"HEALTHY";"95407(38.4127094, -122.7412153)";1
1;"GERM SHEPHERD";3;1;"A378486";1;1;"FIELD";"RETURN TO OWNER";"OVER THE COUNTER_WEB";"UNKNOWN";"PENDING";"95407(38.4127094, -122.7412153)";6
1;"PARSON RUSS TER";1;2;"A336689";0;1;"OVER THE COUNTER";"RETURN TO OWNER";"OVER THE COUNTER_MCHIP";"UNKNOWN";"PENDING";"95403(38.4716444, -122.7398255)";10
2;"DOMESTIC SH";1;2;"A421834";71;1;"FLD_STRAY";"TRANSFER";"FORGOTTEN";"HEALTHY";"HEALTHY";"95403(38.4716444, -122.7398255)";3
1;"SCHNAUZER MIN";4;2;"A423880";0;1;"OVER THE COUNTER";"RETURN TO OWNER";"OVER THE COUNTER_MCHIP";"UNKNOWN";"PENDING";"95403(38.4716444, -122.7398255)";3
1;"LABRADOR RETR/MIX";3;1;"A420310";43;1;"FIELD";"ADOPTION";"OTH_MEDIA";"HEALTHY";"HEALTHY";"95425(38.79895, -123.01762)";2
2;"DOMESTIC SH";4;2;"A423586";19;1;"OVER THE COUNTER";"TRANSFER";"FORGOTTEN";"UNKNOWN";"HEALTHY";"95403(38.4716444, -122.7398255)";2
2;"DOMESTIC SH";1;2;"A293972";34;1;"OVER THE COUNTER";"TRANSFER";"FORGOTTEN";"UNKNOWN";"HEALTHY";"95403(38.4716444, -122.7398255)";10
1;"GERM SHEPHERD/MIX";3;5;"A422880";37;1;"OVER THE COUNTER";"ADOPTION";"WALKIN";"HEALTHY";"HEALTHY";"94954(38.263265, -122.641035)";1
2;"DOMESTIC SH";1;2;"A424642";43;1;"OVER THE COUNTER";"TRANSFER";"WE CARE";"HEALTHY";"HEALTHY";"94574(38.504975, -122.47185)";3
1;"PIT BULL/MIX";1;3;"A424292";21;5;"OVER THE COUNTER";"ADOPTION";"WALKIN";"UNKNOWN";"PENDING";"95462(38.46819, -123.01142)";1
2;"DOMESTIC SH";4;6;"A425647";0;1;"OVER THE COUNTER";"TRANSFER";"PETLUMA PP";"UNKNOWN";"TREATABLE/REHAB";"94952(38.237, -122.640695)";0
3;"HORSE";4;7;"A425454";6;3;"FIELD";"TRANSFER";"CHANGE PRG";"UNKNOWN";"PENDING";"95401(38.44366, -122.7246163)";10
3;"HORSE";2;7;"A425455";6;2;"FLD_CRUEL";"RTOS";"SPHONE";"UNKNOWN";"PENDING";"95407(38.4127094, -122.7412153)";4
3;"HORSE";4;7;"A425454";6;2;"FLD_CRUEL";"RTOS";"SPHONE";"UNKNOWN";"PENDING";"95407(38.4127094, -122.7412153)";10
2;"DOMESTIC SH";2;6;"A425649";0;1;"OVER THE COUNTER";"TRANSFER";"PETLUMA PP";"UNKNOWN";"TREATABLE/REHAB";"94952(38.237, -122.640695)";0
2;"DOMESTIC SH";4;6;"A425648";0;1;"OVER THE COUNTER";"TRANSFER";"PETLUMA PP";"UNKNOWN";"TREATABLE/REHAB";"94952(38.237, -122.640695)";0
1;"CHIHUAHUA SH";3;2;"A424852";0;2;"FLD_HOSPTL";"";"";"UNKNOWN";"";"95401(38.44366, -122.7246163)";8
