type,breed,color,sex,size,animal_id,intake_date,outcome_date,days_in_shelter,intake_type,intake_subtype,outcome_type,outcome_subtype,intake_condition,outcome_condition,intake_jurisdiction,outcome_jurisdiction,outcome_zip_code,location,age
DOG,SCHNAUZER MIN,BLACK/GRAY,Spayed,SMALL,A324184,01/07/2024,01/09/2024,2,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,OVER THE COUNTER_NOTICE,UNKNOWN,PENDING,SANTA ROSA,COUNTY,95446.0,"95446(38.503755, -122.9935)",11
DOG,GERM SHEPHERD,TAN/BLACK,Male,MED,A425494,03/25/2024,03/26/2024,1,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,COUNTY,95409.0,"95409(38.46382, -122.67058)",1
DOG,GERM SHEPHERD/MIX,WHITE/BLACK,Spayed,MED,A422004,11/09/2023,01/09/2024,61,STRAY,FLD_STRAY,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,COUNTY,95472.0,"95472(38.4007555, -122.8277055)",2
DOG,PIT BULL,FAWN/WHITE,Neutered,MED,A419574,08/17/2023,12/08/2023,113,STRAY,OVER THE COUNTER,ADOPTION,VOLUNTEER,TREATABLE/MANAGEABLE,HEALTHY,COUNTY,SANTA ROSA,95401.0,"95401(38.44366, -122.7246163)",6
DOG,AUST CATTLE DOG,GRAY/BROWN,Neutered,MED,A410926,04/11/2022,08/09/2022,120,QUARANTINE,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,UNKNOWN,PENDING,SANTA ROSA,COUNTY,95409.0,"95409(38.46382, -122.67058)",3
DOG,LABRADOR RETR/GERM SHEPHERD,BLACK/TAN,Male,MED,A422652,03/22/2024,03/26/2024,4,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_NOTICE,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95407.0,"95407(38.4127094, -122.7412153)",4
DOG,FRENCH BULLDOG,BLUE MERLE/WHITE,Male,SMALL,A420760,10/06/2023,10/06/2023,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_PRVS,UNKNOWN,PENDING,COUNTY,COUNTY,95472.0,"95472(38.4007555, -122.8277055)",5
DOG,CHIHUAHUA SH/PARSON RUSS TER,WHITE/BLACK,Neutered,SMALL,A361098,09/19/2017,09/20/2017,1,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_PRVS,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95476.0,"95476(38.288405, -122.464525)",8
DOG,LABRADOR RETR,CHOCOLATE,Neutered,MED,A423710,01/06/2024,01/09/2024,3,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,*WINDSOR,95492.0,"95492(38.541355, -122.80026)",4
DOG,CHIHUAHUA SH/PARSON RUSS TER,WHITE/BLACK,Neutered,SMALL,A361098,03/25/2024,03/26/2024,1,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,COUNTY,COUNTY,95476.0,"95476(38.288405, -122.464525)",8
DOG,AUST CATTLE DOG/LABRADOR RETR,TAN/WHITE,Spayed,PUPPY,A423939,01/19/2024,03/26/2024,67,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401.0,"95401(38.44366, -122.7246163)",1
CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,A422660,12/02/2023,01/09/2024,38,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,*WINDSOR,95492.0,"95492(38.541355, -122.80026)",1
DOG,AUST CATTLE DOG/LABRADOR RETR,WHITE/BLACK,Spayed,PUPPY,A423937,01/19/2024,03/26/2024,67,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,94951.0,"94951(38.3091653, -122.6545881)",1
DOG,PIT BULL/BULLMASTIFF,BLACK/BLUE MERLE,Male,SMALL,A423722,01/09/2024,01/09/2024,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95405.0,"95405(38.443415, -122.69178)",1
CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,KITTN,A370929,04/17/2018,05/15/2018,28,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,COUNTY,95441.0,"95441(38.70854, -122.90737)",6
DOG,BORDER COLLIE,TRICOLOR,Spayed,MED,A424844,02/27/2024,03/27/2024,29,STRAY,FIELD,ADOPTION,WALKIN,UNKNOWN,HEALTHY,COUNTY,COUNTY,95425.0,"95425(38.79895, -123.01762)",10
DOG,PARSON RUSS TER/MIX,BROWN/WHITE,Male,SMALL,A363763,03/18/2024,03/27/2024,9,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95404.0,"95404(38.44511, -122.708)",9
DOG,PIT BULL/MIX,BROWN,Neutered,MED,A408497,03/14/2024,03/27/2024,13,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_ARREST,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95401.0,"95401(38.44366, -122.7246163)",3
DOG,CHIHUAHUA SH,WHITE/TAN,Spayed,TOY,A418665,03/26/2024,03/27/2024,1,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,OVER THE COUNTER_NOTICE,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95404.0,"95404(38.44511, -122.708)",3
DOG,ROTTWEILER/MIX,RED/BLACK,Spayed,PUPPY,A424477,02/13/2024,03/27/2024,43,STRAY,OVER THE COUNTER,ADOPTION,REFERRAL-O,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,COUNTY,95404.0,"95404(38.44511, -122.708)",0
DOG,SIBERIAN HUSKY/GERM SHEPHERD,RED/WHITE,Spayed,MED,A422655,12/02/2023,12/02/2023,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95407.0,"95407(38.4127094, -122.7412153)",3
DOG,GERM SHEPHERD/SIBERIAN HUSKY,BLACK/TAN,Male,LARGE,A423715,01/08/2024,01/10/2024,2,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",1
DOG,PIT BULL/MIX,BLACK/WHITE,Male,LARGE,A425484,03/25/2024,03/27/2024,2,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_ARREST,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95407.0,"95407(38.4127094, -122.7412153)",4
DOG,STAFFORDSHIRE,WHITE/BROWN,Spayed,SMALL,A422452,01/09/2024,01/10/2024,1,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,COUNTY,95404.0,"95404(38.44511, -122.708)",9
DOG,SIBERIAN HUSKY,BLACK/WHITE,Neutered,LARGE,A416471,04/01/2023,01/10/2024,284,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,95461.0,"95461(38.75402, -122.61931)",4
DOG,SIBERIAN HUSKY/GERM SHEPHERD,RED/WHITE,Spayed,MED,A422655,03/22/2024,03/26/2024,4,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95407.0,"95407(38.4127094, -122.7412153)",3
DOG,MALTESE,WHITE,Neutered,TOY,A378799,08/04/2023,08/04/2023,0,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_NOTICE,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409.0,"95409(38.46382, -122.67058)",14
CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,KITTN,A421170,10/12/2023,01/09/2024,89,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492.0,"95492(38.541355, -122.80026)",1
DOG,CHIHUAHUA SH,BLACK/WHITE,Spayed,TOY,A418666,03/26/2024,03/27/2024,1,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,OVER THE COUNTER_NOTICE,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95404.0,"95404(38.44511, -122.708)",3
CAT,DOMESTIC SH,FLAME PT,Spayed,SMALL,A422102,11/13/2023,01/10/2024,58,STRAY,FLD_STRAY,ADOPTION,WALKIN,UNKNOWN,HEALTHY,COUNTY,COUNTY,95492.0,"95492(38.541355, -122.80026)",1
DOG,CHIHUAHUA SH,TAN,Spayed,TOY,A308443,06/27/2014,08/09/2014,43,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95407.0,"95407(38.4127094, -122.7412153)",11
DOG,CATAHOULA/MIX,BRN MERLE/BLACK,Spayed,LARGE,A360813,01/04/2024,01/10/2024,6,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_NOTICE,UNKNOWN,PENDING,COUNTY,COUNTY,94951.0,"94951(38.294195, -122.670365)",15
DOG,POMERANIAN,BLACK,Neutered,TOY,A422994,12/09/2023,01/03/2024,25,STRAY,FLD_STRAY,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95401.0,"95401(38.44366, -122.7246163)",6
DOG,PARSON RUSS TER/CHIHUAHUA SH,CREAM/WHITE,Neutered,PUPPY,A423029,12/13/2023,01/09/2024,27,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492.0,"95492(38.541355, -122.80026)",1
DOG,PARSON RUSS TER/CHIHUAHUA SH,CREAM,Spayed,PUPPY,A423033,01/09/2024,01/09/2024,0,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,PENDING,SANTA ROSA,*WINDSOR,95492.0,"95492(38.541355, -122.80026)",1
DOG,SIBERIAN HUSKY/MIX,BLACK/TAN,Spayed,MED,A382673,01/09/2024,01/10/2024,1,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_MCHIP,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95401.0,"95401(38.44366, -122.7246163)",6
DOG,PIT BULL/MIX,BLACK/WHITE,Male,LARGE,A425486,03/25/2024,03/27/2024,2,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_ARREST,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95407.0,"95407(38.4127094, -122.7412153)",5
DOG,CHIHUAHUA SH,TAN/WHITE,Neutered,TOY,A276404,12/12/2023,12/22/2023,10,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,OVER THE COUNTER_PRVS,UNKNOWN,PENDING,SANTA ROSA,*COTATI,94931.0,"94931(38.3260186, -122.706422)",13
DOG,CHIHUAHUA SH/PUG,BLACK/WHITE,Spayed,MED,A425558,03/28/2024,03/28/2024,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,COUNTY,95403.0,"95403(38.4716444, -122.7398255)",1
DOG,LABRADOR RETR/MIX,BLACK/WHITE,Spayed,SMALL,A414483,12/20/2022,01/21/2023,32,STRAY,FIELD,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",2
DOG,AUST CATTLE DOG,TRICOLOR,Spayed,MED,A417832,05/26/2023,01/11/2024,230,CONFISCATE,FLD_ABAND,ADOPTION,WALKIN,UNKNOWN,PENDING,SANTA ROSA,COUNTY,95448.0,"95448(38.613965, -122.869825)",2
CAT,DOMESTIC MH,BRN TABBY,Neutered,KITTN,A423526,12/22/2023,01/11/2024,20,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,*PETALUMA,94952.0,"94952(38.237, -122.640695)",1
CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,A338178,07/05/2017,07/29/2017,24,STRAY,FIELD,EUTHANIZE,INJ SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",8
DOG,CHIHUAHUA SH,TAN,Female,TOY,A423771,01/11/2024,01/11/2024,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",1
DOG,LABRADOR RETR,BLACK,Female,LARGE,A332372,01/25/2016,01/26/2016,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,95614.0,"95614(38.89591, -121.00184)",12
DOG,GERM SHEPHERD/MIX,BROWN/BR BRINDLE,Spayed,PUPPY,A424662,02/20/2024,03/27/2024,36,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95403.0,"95403(38.4716444, -122.7398255)",0
CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,A338178,06/10/2016,08/02/2016,53,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",8
DOG,LABRADOR RETR,BLACK,Male,LARGE,A332371,01/25/2016,01/26/2016,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,95614.0,"95614(38.89591, -121.00184)",9
DOG,LABRADOR RETR,YELLOW,Male,LARGE,A332369,01/25/2016,01/26/2016,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,95614.0,"95614(38.89591, -121.00184)",9
DOG,GERM SHEPHERD/MIX,WHITE,Neutered,PUPPY,A424656,02/20/2024,03/28/2024,37,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,UNKNOWN,PENDING,COUNTY,SANTA ROSA,95404.0,"95404(38.44511, -122.708)",1
DOG,GERM SHEPHERD/MIX,WHITE,Neutered,PUPPY,A424657,02/20/2024,03/29/2024,38,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,COUNTY,COUNTY,95409.0,"95409(38.46382, -122.67058)",1
DOG,PIT BULL,GRAY,Female,MED,A425410,03/21/2024,03/29/2024,8,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_WALKIN,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",2
CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,A422093,11/13/2023,01/12/2024,60,STRAY,FLD_STRAY,ADOPTION,WALKIN,UNKNOWN,HEALTHY,COUNTY,COUNTY,95436.0,"95436(38.47872, -122.890155)",1
CAT,DOMESTIC SH,TORTIE,Spayed,KITTN,A422095,11/13/2023,01/12/2024,60,STRAY,FLD_STRAY,ADOPTION,WALKIN,UNKNOWN,HEALTHY,COUNTY,COUNTY,95436.0,"95436(38.47872, -122.890155)",1
DOG,AUST CATTLE DOG,BROWN/BLACK,Male,MED,A425594,03/29/2024,03/30/2024,1,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_ARREST,UNKNOWN,PENDING,SANTA ROSA,OUT OF COUNTY,96007.0,"96007(40.456433, -122.302259)",1
DOG,PUG/MIX,BROWN/WHITE,Neutered,SMALL,A424639,02/20/2024,03/30/2024,39,STRAY,FIELD,TRANSFER,MARIN HS,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94949.0,"94949(38.0601134, -122.5341132)",2
DOG,DOBERMAN PINSCH,BLACK/TAN,Male,LARGE,A420925,10/05/2023,10/06/2023,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_MCHIP,UNKNOWN,HEALTHY,COUNTY,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",13
DOG,DOBERMAN PINSCH,BLACK/TAN,Male,LARGE,A420925,09/16/2023,09/19/2023,3,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_WALKIN,UNKNOWN,HEALTHY,COUNTY,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",13
DOG,DOBERMAN PINSCH,BLACK/TAN,Male,LARGE,A311544,09/12/2014,09/17/2014,5,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_MCHIP,HEALTHY,HEALTHY,COUNTY,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",11
CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,A420580,12/30/2023,01/12/2024,13,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,*HEALDSBURG,95448.0,"95448(38.613965, -122.869825)",1
DOG,PIT BULL,BR BRINDLE,Spayed,MED,A423767,01/11/2024,01/12/2024,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_MCHIP,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95407.0,"95407(38.4127094, -122.7412153)",3
DOG,SCHNAUZER MIN,GRAY,Neutered,MED,A405979,01/10/2024,01/12/2024,2,QUARANTINE,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",4
CAT,DOMESTIC SH,GRAY TABBY,Spayed,SMALL,A402635,02/24/2021,02/24/2021,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_MCHIP,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95401.0,"95401(38.44366, -122.7246163)",6
CAT,DOMESTIC SH,BLACK/WHITE,Neutered,SMALL,A423691,01/05/2024,03/30/2024,85,STRAY,FIELD,TRANSFER,MARIN HS,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94949.0,"94949(38.0601134, -122.5341132)",2
DOG,AUST CATTLE DOG,BLUE MERLE,Spayed,MED,A423974,01/21/2024,03/30/2024,69,STRAY,FLD_STRAY,TRANSFER,MARIN HS,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,94949.0,"94949(38.0601134, -122.5341132)",2
CAT,DOMESTIC SH,BRN TABBY/TORTIE,Female,KITTN,A425489,03/25/2024,03/30/2024,5,STRAY,FIELD,TRANSFER,MARIN HS,UNKNOWN,HEALTHY,SANTA ROSA,OUT OF COUNTY,94949.0,"94949(38.0601134, -122.5341132)",0
CAT,DOMESTIC SH,TORTIE/BRN TABBY,Female,SMALL,A425485,03/25/2024,03/30/2024,5,STRAY,FIELD,TRANSFER,MARIN HS,UNKNOWN,HEALTHY,SANTA ROSA,OUT OF COUNTY,94949.0,"94949(38.0601134, -122.5341132)",2
CAT,DOMESTIC SH,BLACK,Male,KITTN,A425490,03/25/2024,03/30/2024,5,STRAY,FIELD,TRANSFER,MARIN HS,UNKNOWN,HEALTHY,SANTA ROSA,OUT OF COUNTY,94949.0,"94949(38.0601134, -122.5341132)",0
DOG,GERM SHEPHERD/MIX,BLACK/BL BRINDLE,Spayed,PUPPY,A424658,02/20/2024,03/30/2024,39,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,COUNTY,SANTA ROSA,95401.0,"95401(38.44366, -122.7246163)",0
DOG,GERM SHEPHERD,BLACK/TAN,Spayed,PUPPY,A424891,02/29/2024,03/30/2024,30,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",1
CAT,DOMESTIC SH,ORANGE,Female,KITTN,A425487,03/25/2024,03/30/2024,5,STRAY,FIELD,TRANSFER,MARIN HS,UNKNOWN,HEALTHY,SANTA ROSA,OUT OF COUNTY,94949.0,"94949(38.0601134, -122.5341132)",0
DOG,AKITA,TAN/WHITE,Neutered,LARGE,A290651,03/30/2024,03/30/2024,0,STRAY,FIELD,RETURN TO OWNER,FLD_LIC,UNKNOWN,PENDING,COUNTY,COUNTY,95472.0,"95472(38.4007555, -122.8277055)",12
DOG,AUST CATTLE DOG,BLUE MERLE,Male,MED,A425592,03/29/2024,03/30/2024,1,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_ARREST,UNKNOWN,PENDING,SANTA ROSA,OUT OF COUNTY,96007.0,"96007(40.456433, -122.302259)",8
DOG,BELG MALINOIS/MIX,RED/BLACK,Spayed,MED,A423110,03/06/2024,03/29/2024,23,ADOPTION RETURN,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_WALKIN,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",4
DOG,PIT BULL/LABRADOR RETR,BLACK/WHITE,Male,MED,A418908,10/22/2023,11/03/2023,12,CONFISCATE,FIELD,RETURN TO OWNER,MEDICAL,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95409.0,"95409(38.46382, -122.67058)",1
DOG,BULLMASTIFF/PIT BULL,BLACK,Male,MED,A418909,07/09/2023,07/11/2023,2,CONFISCATE,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95409.0,"95409(38.46382, -122.67058)",1
DOG,BULLMASTIFF/PIT BULL,BLACK,Male,MED,A418909,01/03/2024,01/13/2024,10,QUARANTINE,FIELD,RETURN TO OWNER,OVER THE COUNTER_WALKIN,UNKNOWN,PENDING,COUNTY,SANTA ROSA,95409.0,"95409(38.46382, -122.67058)",1
DOG,BULLMASTIFF/PIT BULL,BLACK,Male,MED,A418909,10/22/2023,11/03/2023,12,CONFISCATE,FIELD,RETURN TO OWNER,OVER THE COUNTER_ARREST,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95409.0,"95409(38.46382, -122.67058)",1
DOG,BULLMASTIFF/PIT BULL,BLACK,Male,MED,A418909,09/15/2023,09/19/2023,4,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,OVER THE COUNTER_PRVS,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95409.0,"95409(38.46382, -122.67058)",1
DOG,CATAHOULA/MIX,BRN MERLE/BLACK,Spayed,LARGE,A360813,01/11/2024,01/13/2024,2,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_NOTICE,UNKNOWN,PENDING,COUNTY,COUNTY,94951.0,"94951(38.294195, -122.670365)",15
DOG,CHIHUAHUA LH/MIX,BLACK/WHITE,Female,SMALL,A422264,01/13/2024,01/13/2024,0,CONFISCATE,FLD_ARREST,TRANSFER,RP SHELTER,UNKNOWN,PENDING,*ROHNERT PARK,*ROHNERT PARK,94928.0,"94928(38.3499842, -122.6928413)",2
DOG,PIT BULL/LABRADOR RETR,BLACK/WHITE,Male,MED,A418908,07/09/2023,07/11/2023,2,CONFISCATE,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95409.0,"95409(38.46382, -122.67058)",1
CAT,DOMESTIC SH,ORANGE,Male,KITTN,A425488,03/25/2024,03/30/2024,5,STRAY,FIELD,TRANSFER,MARIN HS,UNKNOWN,HEALTHY,SANTA ROSA,OUT OF COUNTY,94949.0,"94949(38.0601134, -122.5341132)",0
DOG,PIT BULL/LABRADOR RETR,BLACK/WHITE,Male,MED,A418908,09/15/2023,09/19/2023,4,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,OVER THE COUNTER_PRVS,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95409.0,"95409(38.46382, -122.67058)",1
DOG,LABRADOR RETR/MIX,YELLOW,Neutered,PUPPY,A422883,12/07/2023,01/13/2024,37,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*PETALUMA,94954.0,"94954(38.263265, -122.641035)",1
